armed,age,gender,signs_of_mental_illness,threat_level,flee,body_camera,y
unarmed,35.0,M,True,attack,Foot,True,1
gun,32.0,M,False,other,Not fleeing,False,1
gun,39.0,M,False,attack,Not fleeing,False,1
gun,33.0,M,False,attack,Not fleeing,False,1
other,21.0,M,False,attack,Car,False,1
gun,19.0,M,False,attack,Not fleeing,False,1
gun,24.0,M,False,other,Not fleeing,False,1
gun,21.0,M,False,attack,Foot,False,1
gun,39.0,M,True,attack,Not fleeing,False,1
knife,55.0,M,False,attack,Not fleeing,True,1
gun,23.0,M,False,other,Car,False,1
knife,22.0,M,False,attack,Not fleeing,False,1
knife,21.0,M,False,other,Foot,False,1
gun,15.0,M,False,attack,Not fleeing,False,1
gun,33.0,M,False,other,Not fleeing,True,1
gun,58.0,M,False,attack,Car,False,1
gun,27.0,M,False,attack,Not fleeing,True,1
other,22.0,M,False,other,Not fleeing,True,1
gun,61.0,M,False,attack,Not fleeing,False,1
gun,32.0,M,False,attack,Not fleeing,False,1
gun,31.0,M,False,attack,Foot,False,1
gun,19.0,M,False,attack,Car,True,1
knife,22.0,M,False,other,Not fleeing,False,1
other,35.0,M,False,attack,Foot,False,1
gun,47.0,F,True,attack,Not fleeing,False,1
other,30.0,M,False,attack,Car,False,1
gun,17.0,M,False,other,Not fleeing,False,1
gun,17.0,M,False,other,Car,False,1
gun,38.0,M,False,attack,Foot,False,1
gun,27.0,M,False,other,Not fleeing,False,1
gun,19.0,M,False,undetermined,Car,False,1
other,30.0,M,False,attack,Car,False,1
other,22.0,M,True,attack,Not fleeing,False,1
knife,38.0,M,False,attack,Foot,False,1
knife,35.0,M,False,attack,Not fleeing,False,1
unarmed,31.0,M,False,attack,Other,False,1
gun,21.0,M,False,attack,Foot,False,1
other,62.0,M,False,undetermined,Not fleeing,False,1
gun,27.0,M,False,attack,Foot,True,1
gun,35.0,M,False,other,Not fleeing,False,1
